,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Engine,Max Power,Max Torque,Drivetrain,Fuel Tank Capacity,mileage
920,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
921,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
922,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
923,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
924,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
925,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
926,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
927,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
928,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
929,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
930,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
931,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
932,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
933,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
934,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
935,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
936,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
937,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
938,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
939,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
940,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
941,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
942,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
943,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
944,Volvo,V40 D3 R-Design,2000000,2016,6000,Diesel,Automatic,Mumbai,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
951,Hyundai,Creta 1.6 SX,1035000,2018,36000,Diesel,Manual,Patna,Grey,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
952,Hyundai,Creta 1.6 SX,1035000,2018,36000,Diesel,Manual,Patna,Grey,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
953,Hyundai,Creta 1.6 SX,1035000,2018,36000,Diesel,Manual,Patna,Grey,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
954,Hyundai,Creta 1.6 SX,1035000,2018,36000,Diesel,Manual,Patna,Grey,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
967,Audi,A6 2.0 TDI Premium Plus,1800000,2014,19868,Diesel,Automatic,Delhi,White,First,1968 cc,177,1750 rpm,FWD,65.0,17.68 kmpl
968,Honda,City VX CVT,825000,2016,45000,Petrol,Automatic,Mumbai,White,First,1497 cc,117,4600 rpm,FWD,40.0,17.4 kmpl
978,Mercedes-Benz,E-Class E250 CDI Avantgarde,1750000,2014,59000,Diesel,Automatic,Delhi,Brown,First,2143 cc,204,1600 rpm,RWD,80.0,13.0 kmpl
979,Mercedes-Benz,E-Class E250 CDI Avantgarde,1750000,2014,59000,Diesel,Automatic,Delhi,Brown,First,2143 cc,204,1600 rpm,RWD,80.0,13.0 kmpl
980,Mercedes-Benz,E-Class E250 CDI Avantgarde,1750000,2014,59000,Diesel,Automatic,Delhi,Brown,First,2143 cc,204,1600 rpm,RWD,80.0,13.0 kmpl
997,Honda,Brio E MT,375000,2016,35134,Petrol,Manual,Delhi,Silver,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
1003,Hyundai,i20 Active 1.2 SX,685000,2018,64300,Petrol,Manual,Pune,Brown,First,1197 cc,82,4000 rpm,FWD,40.0,17.19 kmpl
1004,Hyundai,i20 Active 1.2 SX,685000,2018,64300,Petrol,Manual,Pune,Brown,First,1197 cc,82,4000 rpm,FWD,40.0,17.19 kmpl
1005,Hyundai,i20 Active 1.2 SX,685000,2018,64300,Petrol,Manual,Pune,Brown,First,1197 cc,82,4000 rpm,FWD,40.0,17.19 kmpl
1050,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1051,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1052,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1053,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1054,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1055,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1056,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1057,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1058,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1059,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1060,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1061,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1062,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1063,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1064,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1065,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1066,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1067,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1068,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1069,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1070,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1071,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1072,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1073,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1074,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1075,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1076,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1077,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1078,Volvo,V40 D3 R-Design,2100000,2018,42000,Diesel,Automatic,Raipur,Red,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1083,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1084,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1085,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1086,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1089,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1094,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1095,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1096,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1099,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1100,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1101,Toyota,Etios GD,300000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,1364 cc,68,2400 rpm,FWD,45.0,23.59 kmpl
1203,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1204,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1205,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1206,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1207,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1208,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1209,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1210,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1211,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1212,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1213,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1214,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1215,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1216,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1217,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1218,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1219,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1220,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1221,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1222,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1223,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1224,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1225,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1226,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1227,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1228,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1229,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1230,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1231,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1235,Hyundai,Santro Era,409999,2019,32000,Petrol,Manual,Zirakpur,Silver,First,1086 cc,68,4500 rpm,FWD,35.0,20.3 kmpl
1236,Hyundai,Santro Era,409999,2019,32000,Petrol,Manual,Zirakpur,Silver,First,1086 cc,68,4500 rpm,FWD,35.0,20.3 kmpl
1237,Hyundai,Santro Era,409999,2019,32000,Petrol,Manual,Zirakpur,Silver,First,1086 cc,68,4500 rpm,FWD,35.0,20.3 kmpl
1238,Hyundai,Santro Era,409999,2019,32000,Petrol,Manual,Zirakpur,Silver,First,1086 cc,68,4500 rpm,FWD,35.0,20.3 kmpl
1261,Honda,City 1.5 V AT,495000,2012,65001,Petrol,Automatic,Pune,Red,First,1497 cc,116,4800 rpm,FWD,42.0,16.8 kmpl
1262,Honda,City 1.5 V AT,495000,2012,65001,Petrol,Automatic,Pune,Red,First,1497 cc,116,4800 rpm,FWD,42.0,16.8 kmpl
1274,Hyundai,Verna 1.6 VTVT SX,645000,2016,45000,Petrol,Manual,Delhi,White,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
1275,Hyundai,Verna 1.6 VTVT SX,645000,2016,45000,Petrol,Manual,Delhi,White,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
1276,Hyundai,Verna 1.6 VTVT SX,645000,2016,45000,Petrol,Manual,Delhi,White,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
1322,Hyundai,i20 Active 1.4 S,545000,2016,70500,Diesel,Manual,Jamshedpur,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
1328,Honda,City 1.5 V AT,475000,2012,40000,Petrol,Automatic,Pune,Red,Second,1497 cc,116,4800 rpm,FWD,42.0,16.8 kmpl
1329,Honda,City 1.5 V AT,475000,2012,40000,Petrol,Automatic,Pune,Red,Second,1497 cc,116,4800 rpm,FWD,42.0,16.8 kmpl
1338,Tata,Harrier XZ,1750000,2020,14400,Diesel,Manual,Ahmedabad,Silver,First,1956 cc,168,1750 rpm,FWD,50.0,17.0 kmpl
1348,Skoda,Superb Elegance 1.8 TSI AT,795000,2014,53000,Petrol,Automatic,Delhi,White,Second,1798 cc,158,1500 rpm,FWD,60.0,13.7 kmpl
1381,Mercedes-Benz,M-Class ML 250 CDI,2250000,2014,85000,Diesel,Automatic,Delhi,White,Second,2143 cc,203,1600 rpm,AWD,70.0,15.26 kmpl
1418,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1419,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1420,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1421,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1422,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1430,Hyundai,i20 Active 1.2 SX,560000,2016,22700,Petrol,Manual,Mumbai,Red,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
1431,Hyundai,i20 Active 1.2 SX,560000,2016,22700,Petrol,Manual,Mumbai,Red,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
1432,Hyundai,i20 Active 1.2 SX,560000,2016,22700,Petrol,Manual,Mumbai,Red,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
1440,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1441,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1442,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1443,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1444,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1445,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1446,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1485,Volkswagen,Polo GT TDI,325000,2013,76000,Diesel,Manual,Lucknow,White,First,1598 cc,103,1500 rpm,FWD,45.0,15.11 kmpl
